MixinsMatrix([[   5,    0,   12,    3,  896,  288, 1536,    5,    8,  512],
       [  28, 3072,   32,   64,    8,   24,   56,  112,   16,    4],
       [2560,   18,  128,  576, 1024,   12,    0,    3,    5,    0],
       [   2,  192,   64,    8,  768,  768,  768,   28,    0,    4],
       [   9, 2304,    0,   32, 1792,   12,  512,  112,   16,    0],
       [   0,   32,  320, 2560, 1536,    8, 1024,   32, 2048,    9],
       [4096,   64,   32,   56,   18, 2304,    3,   96, 3584,  128],
       [   0,  384, 1280, 2304, 2048,   16, 1536,  256,  256, 1536],
       [   8,  256, 2048, 1024,   24,   28,   40,  320,    0,   64],
       [ 160, 1152,    3,    0,   80,    0,   32,  512,   16,   16]])
